cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,poison
f,s,w,t,n,f,w,b,w,t,b,s,s,w,g,p,w,o,p,k,s,d,e
f,y,n,t,n,f,w,b,k,t,e,s,s,w,p,p,w,o,p,k,n,g,e
f,y,e,t,l,f,w,b,w,t,c,s,s,w,w,p,w,o,p,n,v,g,e
f,f,y,f,n,f,c,n,g,e,b,k,k,p,w,p,w,o,l,h,a,p,p
f,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p,p
x,f,e,t,a,f,w,b,n,t,b,f,s,n,w,p,w,o,e,n,a,g,e
x,y,g,t,f,f,c,b,n,e,e,s,k,b,b,p,w,o,p,n,y,p,p
f,y,y,t,l,f,w,b,n,t,b,k,s,p,w,p,w,o,p,h,y,m,e
x,y,y,f,f,f,c,b,h,e,b,k,s,n,w,p,w,o,l,h,y,u,p
f,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,e,k,y,g,e
x,f,y,f,n,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,p,p
x,y,n,t,n,f,w,b,n,t,c,s,s,p,w,p,w,o,p,h,s,d,e
f,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g,p
x,f,g,t,n,f,w,b,n,t,b,s,k,p,w,p,w,o,p,h,s,d,e
x,y,y,f,f,f,c,b,u,t,b,s,s,w,w,p,w,o,l,h,v,p,e
f,f,y,f,f,f,c,b,h,e,b,s,s,w,p,p,w,o,p,h,a,d,p
x,s,w,t,n,f,w,b,k,t,b,f,s,w,w,p,w,o,p,h,v,p,e
f,f,g,f,f,f,c,b,p,e,e,k,k,p,p,p,w,o,p,h,v,d,p
f,s,n,t,n,f,c,b,n,t,c,s,s,w,w,p,w,o,p,k,s,d,e
x,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p,p
x,s,n,t,n,f,w,b,u,t,e,s,s,w,w,p,w,o,p,k,s,d,e
f,y,n,t,f,f,c,b,h,t,b,k,f,n,p,p,w,o,e,k,y,p,e
f,y,n,t,l,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,v,g,e
f,f,n,t,l,f,c,b,w,t,e,s,s,w,w,p,w,o,e,k,v,m,e
f,s,e,t,n,f,c,n,u,t,b,f,s,w,w,p,w,o,p,k,v,g,e
x,f,g,t,a,f,c,b,g,t,b,s,k,w,n,p,w,o,p,n,v,p,p
f,y,g,f,f,f,w,b,g,t,b,s,k,w,w,p,w,o,p,n,v,p,e
f,f,y,f,f,f,c,b,g,e,e,s,k,n,p,p,w,o,l,h,v,g,p
x,y,n,f,n,f,w,b,u,t,b,s,s,g,w,p,w,o,p,n,a,d,e
x,y,n,t,f,f,c,b,h,e,b,s,k,p,g,p,w,o,l,h,v,d,e
f,y,g,f,f,f,c,b,p,t,b,k,k,n,b,p,w,o,l,h,y,p,p
x,y,g,f,a,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d,p
f,f,g,f,f,f,c,b,p,e,b,s,k,w,g,p,w,o,l,h,y,u,p
b,f,y,t,c,f,c,b,k,e,b,s,k,b,w,p,w,o,p,k,y,p,e
b,s,w,t,l,f,c,b,g,e,b,f,s,b,g,p,w,o,p,k,v,d,e
x,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,p,k,v,d,e
f,s,n,t,n,f,w,b,n,t,c,s,s,g,w,p,w,o,p,k,v,g,e
f,f,y,f,p,f,c,b,h,t,b,f,s,n,g,p,w,o,p,h,a,u,e
x,y,n,t,a,f,c,b,w,t,b,s,s,n,w,p,w,o,p,w,y,g,p
x,y,p,f,c,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,d,p
x,y,y,f,f,f,c,n,g,e,b,f,s,p,n,p,w,o,p,h,v,p,p
f,y,g,f,p,f,c,b,u,e,b,s,y,b,w,p,w,o,p,w,y,d,p
f,y,e,t,n,f,w,b,n,e,c,s,s,w,w,p,w,o,e,k,a,g,p
b,y,b,t,l,f,c,b,p,t,b,k,f,w,g,p,w,o,p,k,n,d,e
f,y,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,p,e
f,s,n,t,a,f,c,b,n,t,e,k,s,g,w,p,w,o,p,n,y,g,e
x,f,g,f,f,f,c,b,h,e,b,k,s,b,g,p,w,t,l,h,y,p,p
x,f,w,t,n,f,w,b,w,t,b,f,s,w,w,p,w,o,p,n,a,d,e
f,y,g,f,f,f,w,b,g,e,b,k,k,p,n,p,w,o,p,h,y,d,p
f,f,y,t,f,f,w,n,w,t,b,s,s,w,w,p,w,o,p,h,n,g,e
x,f,w,t,l,f,c,b,n,e,b,s,s,w,w,p,w,o,p,k,y,p,e
x,y,y,t,f,f,w,b,k,e,b,s,k,n,p,p,w,o,l,h,v,u,p
f,s,n,t,n,f,c,n,u,t,e,s,s,w,w,p,w,o,p,n,v,m,e
x,s,b,t,n,f,w,b,n,t,b,s,s,w,g,p,w,o,p,k,y,g,e
x,y,y,f,f,f,c,b,n,e,b,s,k,p,w,p,w,o,l,h,v,p,p
x,f,g,f,f,f,c,b,p,t,b,k,s,w,p,p,w,o,e,h,a,d,e
x,f,e,t,l,f,w,n,n,t,e,s,s,g,w,p,w,o,p,n,s,d,p
x,f,e,t,n,f,c,b,n,t,r,s,s,w,p,p,w,o,p,k,y,g,e
x,f,y,t,f,f,c,b,n,e,b,s,s,p,w,p,w,o,l,h,v,d,p
x,s,e,f,a,f,c,n,k,t,b,s,s,w,w,p,w,o,e,n,s,g,e
x,f,g,t,n,f,w,b,p,t,c,s,s,b,g,p,w,o,e,n,v,g,e
f,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,p
x,f,y,t,a,f,c,b,p,t,c,s,s,w,b,p,w,o,p,k,y,m,p
x,f,y,t,n,f,c,b,g,e,b,s,k,b,b,p,w,o,l,h,y,d,p
f,y,g,t,a,f,c,b,n,e,b,s,y,w,w,p,w,o,p,n,y,g,e
x,y,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,d,p
x,f,w,t,n,f,c,n,w,t,e,s,s,w,w,p,w,o,p,k,a,d,e
f,y,n,t,n,f,c,b,p,t,c,s,s,w,w,p,w,o,p,n,v,g,e
f,y,n,t,c,f,c,b,p,t,c,k,k,w,b,p,w,n,p,n,v,d,e
x,y,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,k,v,g,p
f,y,y,f,f,f,c,b,p,e,b,k,k,w,n,p,w,o,p,n,y,m,p
x,y,g,f,n,f,w,b,p,e,b,k,k,n,b,p,w,o,l,h,y,d,e
x,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p,p
x,f,e,t,n,f,w,b,w,t,e,s,s,w,g,p,w,o,p,k,s,g,e
x,s,n,t,n,f,c,b,w,e,b,s,f,g,w,p,w,o,p,h,v,d,e
f,f,y,t,c,f,c,b,p,e,e,s,s,p,g,p,w,o,e,h,s,g,e
x,y,g,t,n,f,c,b,n,t,b,k,s,w,b,p,w,o,p,k,v,g,p
b,s,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,a,d,e
f,s,g,f,n,f,c,b,k,t,b,s,s,w,w,p,w,o,p,k,s,g,e
x,f,w,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,p,p
f,f,g,t,f,f,c,b,p,e,b,k,k,p,p,p,w,o,p,h,v,d,p
f,f,g,f,f,f,c,b,g,e,b,s,k,p,b,p,w,o,p,h,v,p,p
f,f,n,t,l,f,c,b,n,e,b,s,s,p,g,p,w,o,l,n,y,p,e
f,f,w,t,n,f,c,n,w,t,b,s,s,w,w,p,w,o,p,k,y,g,e
x,f,w,t,n,f,w,n,p,e,c,s,s,w,w,p,w,t,e,n,v,d,e
x,y,y,f,f,f,c,b,g,e,b,k,s,n,w,p,w,o,l,k,v,p,p
f,y,n,t,c,f,c,b,p,t,b,f,s,w,w,p,w,o,p,n,y,u,e
x,y,n,t,n,f,c,b,n,t,e,s,s,w,w,p,w,o,p,n,v,d,e
x,y,g,t,n,f,c,b,g,e,b,k,s,b,w,p,w,o,l,h,y,d,p
f,y,y,f,a,f,c,b,p,e,b,s,y,w,w,p,w,o,p,h,v,d,e
x,s,n,t,n,f,c,b,k,e,e,s,s,p,w,p,w,o,p,k,s,m,e
x,y,w,f,p,f,c,b,p,e,b,s,f,w,w,p,w,o,p,n,v,g,e
f,f,y,f,n,f,c,b,g,e,b,k,s,b,p,p,w,o,p,h,y,p,p
f,s,e,t,n,f,c,b,u,e,e,k,s,g,w,p,w,o,p,h,a,g,e
x,s,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,p,p
x,f,g,t,a,f,c,b,n,t,b,s,s,n,w,p,w,o,l,k,v,d,e
x,f,g,t,n,f,c,b,w,t,c,s,s,p,p,p,w,o,p,n,v,p,e
x,s,g,t,n,f,c,b,w,t,b,s,f,w,w,p,w,o,p,n,y,u,e
x,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,g,p
f,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,p,h,y,u,p
x,f,y,f,f,f,c,b,h,e,b,k,k,w,p,p,w,o,l,h,v,p,p
x,f,g,f,f,f,c,b,n,e,b,k,s,w,p,p,w,o,p,h,y,g,p
f,f,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,u,p
x,f,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,p,p
x,y,e,f,f,f,c,b,n,t,c,s,k,g,w,p,w,o,p,h,v,u,e
x,y,y,t,f,f,c,b,g,t,b,k,y,w,w,p,w,o,l,h,v,p,e
f,y,n,t,a,f,c,b,w,t,e,s,s,w,p,p,w,o,p,k,v,d,e
f,f,g,f,n,f,c,b,p,e,e,s,s,n,b,p,w,o,l,h,y,d,p
f,y,y,t,f,f,c,b,g,e,b,k,s,p,p,p,w,o,p,h,y,d,p
f,s,y,t,c,f,w,b,p,e,e,s,s,w,w,p,w,o,p,k,v,d,e
x,f,g,f,f,f,c,b,p,e,b,s,k,g,p,p,w,o,l,h,y,m,p
x,f,n,t,a,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,a,d,e
x,f,w,t,n,f,c,b,w,t,b,s,y,w,w,p,w,o,p,n,s,d,e
f,y,y,t,f,f,c,b,p,t,b,s,k,p,p,p,w,o,l,n,y,d,e
x,y,w,t,f,f,c,b,p,t,b,f,y,p,g,p,w,o,e,k,v,g,e
x,f,n,t,a,f,c,b,k,t,c,s,s,w,w,p,w,o,p,k,v,g,e
f,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g,p
x,f,b,f,c,f,c,n,p,t,e,f,y,g,w,p,w,o,p,h,a,u,e
x,f,w,t,n,f,c,b,w,t,b,s,s,w,n,p,w,o,e,k,s,g,e
x,y,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d,p
f,f,n,f,l,f,c,b,w,e,b,s,k,n,w,p,w,o,l,k,v,d,p
f,f,e,t,n,f,w,b,w,e,r,s,s,w,w,p,w,o,p,h,y,d,e
x,f,w,t,n,f,c,n,g,t,b,s,s,w,w,p,w,o,p,k,y,d,e
f,f,y,t,p,f,c,b,p,t,e,s,k,w,w,p,w,o,e,h,y,g,e
x,f,y,t,n,f,c,b,h,e,b,k,k,p,w,p,w,o,l,h,y,u,p
f,y,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,p,p
f,y,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,u,e
x,y,w,t,f,f,c,b,n,t,b,s,s,w,w,p,w,o,l,k,s,d,e
x,s,w,f,n,f,c,b,w,e,b,s,s,w,w,p,w,o,p,k,s,d,e
x,f,w,t,c,f,w,b,n,t,r,s,s,n,w,p,w,o,p,k,s,d,e
x,y,g,t,a,f,c,b,p,t,b,s,s,p,g,p,w,o,l,k,s,p,e
x,f,y,f,l,f,c,b,p,e,b,k,k,b,n,p,w,o,l,k,y,d,p
f,s,n,t,n,f,c,b,n,t,b,s,s,w,b,p,w,o,p,n,s,d,e
f,f,y,f,f,f,c,b,g,e,b,k,k,w,n,p,w,o,l,h,y,p,p
x,f,n,t,f,f,c,b,w,e,b,s,s,w,w,p,w,o,p,h,y,g,e
x,y,w,t,n,f,c,b,k,t,e,s,s,g,w,p,w,o,e,n,s,g,e
f,f,g,f,n,f,c,b,n,t,e,f,s,w,w,p,w,o,e,n,v,g,e
x,f,n,t,n,f,w,b,u,t,e,s,y,w,w,p,w,o,p,n,v,g,e
f,s,y,t,n,f,c,b,g,e,e,f,k,b,w,p,w,o,p,n,n,m,p
x,y,g,t,n,f,c,b,p,t,r,s,s,w,n,p,w,o,p,k,s,m,e
x,s,n,t,n,f,w,b,k,t,e,s,s,g,w,p,w,o,p,n,s,g,e
f,y,w,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,g,e
b,f,g,f,a,f,c,b,g,e,b,k,k,p,n,p,w,o,p,h,v,p,p
x,y,y,f,f,f,c,b,h,e,e,f,k,n,w,p,w,o,l,h,y,d,p
f,f,y,f,f,f,c,b,w,t,b,f,k,b,w,p,w,o,p,k,v,g,e
b,y,n,t,a,f,c,b,k,t,e,s,s,w,w,p,w,o,p,n,y,p,e
x,f,w,f,a,f,c,b,p,e,b,s,k,n,p,p,w,o,p,k,v,d,p
x,y,w,t,n,f,c,b,g,e,b,s,k,p,w,p,w,o,e,k,s,d,p
x,y,y,f,f,f,c,b,g,t,b,s,k,n,p,p,w,o,e,k,y,p,p
x,y,g,f,f,f,c,b,p,e,b,k,k,n,w,p,w,o,l,h,y,g,p
f,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,k,v,d,p
f,f,n,t,n,f,w,b,n,t,e,s,s,w,w,p,w,o,p,n,a,d,e
x,y,y,t,l,f,c,b,n,e,b,s,s,p,w,p,w,o,p,h,y,g,e
x,y,g,t,n,f,c,b,n,t,b,k,s,p,g,p,w,o,e,n,v,g,p
k,y,y,f,f,f,c,b,p,e,b,k,s,w,p,p,w,o,p,h,y,d,p
f,s,n,t,n,f,c,b,w,t,e,s,s,w,w,p,w,o,p,n,s,g,e
x,s,e,t,a,f,c,b,n,t,b,s,s,w,w,p,w,o,e,n,a,u,e
x,y,n,f,n,f,c,b,k,t,b,s,s,w,w,p,w,o,p,k,s,g,e
x,f,n,t,n,f,c,b,w,t,b,k,s,w,w,p,w,o,p,n,a,g,e
x,y,n,t,n,f,w,b,p,e,c,s,s,w,w,p,w,o,p,n,a,d,e
x,s,g,t,f,f,c,b,g,e,b,s,s,b,w,p,w,o,p,h,v,d,p
x,y,n,t,l,f,c,b,p,t,b,s,f,p,p,p,w,o,e,n,v,d,e
x,f,n,t,n,f,w,b,u,t,c,s,s,w,w,p,w,o,p,n,s,g,e
f,y,w,f,a,f,c,b,h,e,b,f,f,n,b,p,w,o,l,k,v,p,p
f,f,w,t,n,f,w,n,u,t,b,f,s,b,w,p,w,o,p,h,v,d,e
x,f,y,f,f,f,c,b,p,e,c,k,k,b,p,p,w,o,p,h,y,u,p
f,y,n,t,a,f,c,b,u,t,b,s,f,w,p,p,w,o,p,w,n,d,e
f,y,g,t,p,f,c,b,p,t,e,s,s,w,g,p,w,o,p,n,n,d,e
f,f,e,t,a,f,c,b,p,t,e,y,s,w,w,p,w,o,e,n,a,g,e
f,f,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p,p
x,s,w,t,l,f,c,b,n,t,r,s,s,w,g,p,w,o,p,n,v,d,e
x,f,w,f,f,f,w,b,g,t,b,f,s,g,w,p,w,o,p,k,v,g,e
x,f,y,t,f,f,c,b,g,e,b,s,k,b,w,p,w,o,l,h,v,g,p
x,s,n,t,n,f,w,n,p,t,b,s,s,w,g,p,w,o,p,n,v,d,e
b,y,y,t,n,f,w,b,w,t,b,s,s,b,g,p,w,o,p,n,y,d,p
x,f,n,f,c,f,c,b,h,e,b,s,k,b,b,p,w,o,p,h,y,g,p
x,y,g,t,n,f,c,b,n,t,b,f,s,w,w,p,w,o,p,n,y,g,e
x,s,w,t,c,f,w,b,w,t,e,s,s,w,w,p,w,o,p,k,v,d,e
x,y,e,t,a,f,c,b,n,t,r,s,s,w,w,p,w,o,p,n,v,d,e
x,f,y,f,f,f,c,b,k,e,b,k,f,w,w,p,w,o,l,h,y,d,p
x,f,e,t,l,f,c,b,n,t,b,s,s,g,g,p,w,o,e,n,y,d,e
f,s,w,t,p,f,c,b,n,t,r,s,s,w,g,p,w,o,p,k,v,g,e
f,f,b,f,n,f,c,b,p,t,b,s,s,b,g,p,w,o,p,k,y,d,p
x,y,y,f,n,f,c,b,g,e,b,s,k,p,b,p,w,o,l,h,v,g,p
x,s,g,t,f,f,c,b,p,t,b,s,s,w,w,p,w,o,l,h,y,p,e
x,f,e,t,l,f,c,n,g,t,e,s,s,g,g,p,w,o,p,n,y,g,e
x,y,y,f,a,f,c,b,h,e,b,k,k,w,b,p,w,o,l,h,v,p,p
x,f,w,t,n,f,c,b,n,t,c,s,s,w,w,p,w,o,p,k,s,d,e
x,f,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,p,h,v,d,p
f,s,w,t,n,f,w,b,w,t,e,s,s,w,w,p,w,o,p,k,y,d,e
f,y,e,f,l,f,w,b,p,t,b,s,s,w,w,p,w,o,p,n,v,g,e
x,y,g,f,n,f,c,b,w,e,b,k,k,p,p,p,w,o,l,h,y,g,p
f,f,y,f,p,f,c,b,u,e,b,k,k,n,n,p,w,o,l,h,y,g,p
f,y,g,f,n,f,c,b,p,t,b,s,k,b,p,p,w,o,l,h,v,d,p
f,y,y,f,f,f,w,b,g,t,b,k,k,g,w,p,w,o,l,n,v,g,p
x,f,w,t,n,f,w,b,u,t,e,s,s,w,w,p,w,o,p,k,s,d,e
f,s,w,t,n,f,c,b,k,t,e,s,s,p,w,p,w,o,p,n,a,g,e
b,y,w,t,n,f,w,b,n,t,b,f,s,w,w,p,w,o,p,k,a,g,e
f,y,y,f,n,f,c,b,p,e,b,k,k,b,w,p,w,o,l,k,y,d,p
x,y,g,t,n,f,c,b,p,e,e,s,s,w,w,p,w,o,p,n,s,p,e
